The Shawshank Redemption;Drama;;;142;74;1
The Godfather;Crime;Drama;;175;92;2
The Dark Knight;Action;Crime;Drama;152;76;3
The Godfather: Part II;Crime;Drama;;202;81;4
12 Angry Men;Crime;Drama;;96;86;5
The Lord of the Rings: The Return of the King;Action;Adventure;Drama;201;84;6
Pulp Fiction;Crime;Drama;;154;84;7
Schindler's List;Biography;Drama;History;195;84;8
Inception;Action;Adventure;Sci-Fi;148;65;9
Fight Club;Drama;;;139;58;10
The Lord of the Rings: The Fellowship of the Ring;Action;Adventure;Drama;178;81;11
Forrest Gump;Drama;Romance;;142;72;12
Il buono, il brutto, il cattivo;Western;;;161;79;13
The Lord of the Rings: The Two Towers;Action;Adventure;Drama;179;76;14
The Matrix;Action;Sci-Fi;;136;64;15
Goodfellas;Biography;Crime;Drama;146;78;16
Star Wars: Episode V - The Empire Strikes Back;Action;Adventure;Fantasy;124;71;17
One Flew Over the Cuckoo's Nest;Drama;;;133;72;18
Gisaengchung;Comedy;Drama;Thriller;132;83;19
Soorarai Pottru;Drama;;;153;86;20
Interstellar;Adventure;Drama;Sci-Fi;169;64;21
Cidade de Deus;Crime;Drama;;130;68;22
Sen to Chihiro no kamikakushi;Animation;Adventure;Family;125;83;23
Saving Private Ryan;Drama;War;;169;78;24
The Green Mile;Crime;Drama;Fantasy;189;52;25
La vita ? bella;Comedy;Drama;Romance;116;86;26
Se7en;Crime;Drama;Mystery;127;56;27
The Silence of the Lambs;Crime;Drama;Thriller;118;73;28
Star Wars;Action;Adventure;Fantasy;121;77;29
Seppuku;Action;Drama;Mystery;133;73;30
Shichinin no samurai;Action;Adventure;Drama;207;84;31
It's a Wonderful Life;Drama;Family;Fantasy;130;77;32
Hamilton;Biography;Drama;History;160;77;33
Ratsasan;Action;Crime;Thriller;170;85;34
Whiplash;Drama;Music;;106;75;35
The Intouchables;Biography;Comedy;Drama;112;85;36
The Prestige;Drama;Mystery;Sci-Fi;130;56;37
The Departed;Crime;Drama;Thriller;151;72;38
The Pianist;Biography;Drama;Music;150;72;39
Gladiator;Action;Adventure;Drama;155;57;40
American History X;Drama;;;119;53;41
The Usual Suspects;Crime;Mystery;Thriller;106;65;42
Léon;Action;Crime;Drama;110;54;43
The Lion King;Animation;Adventure;Drama;88;75;44
Terminator 2: Judgment Day;Action;Sci-Fi;;137;64;45
Nuovo Cinema Paradiso;Drama;Romance;;155;68;46
Hotaru no haka;Animation;Drama;War;89;80;47
Back to the Future;Adventure;Comedy;Sci-Fi;116;74;48
Once Upon a Time in the West;Western;;;165;68;49
Psycho;Horror;Mystery;Thriller;109;82;50
Casablanca;Drama;Romance;War;102;85;51
Modern Times;Comedy;Drama;Family;87;82;52
City Lights;Comedy;Drama;Romance;87;84;53
Capharnaüm;Drama;;;126;63;54
Joker;Crime;Drama;Thriller;122;84;55
Ayla: The Daughter of War;Biography;Drama;History;125;84;56
Vikram Vedha;Action;Crime;Drama;147;84;57
Kimi no na wa,;Animation;Drama;Fantasy;106;66;58
Dangal;Action;Biography;Drama;161;84;59
Spider-Man: Into the Spider-Verse;Animation;Action;Adventure;117;73;60
Avengers: Endgame;Action;Adventure;Drama;181;66;61
Avengers: Infinity War;Action;Adventure;Sci-Fi;149;57;62
Coco;Animation;Adventure;Family;105;68;63
Django Unchained;Drama;Western;;165;68;64
The Dark Knight Rises;Action;Adventure;;164;66;65
3 Idiots;Comedy;Drama;;170;56;66
Taare Zameen Par;Drama;Family;;165;84;67
WALL·E;Animation;Adventure;Family;98;80;68
The Lives of Others;Drama;Mystery;Thriller;137;75;69
Oldeuboi;Action;Drama;Mystery;101;65;70
Memento;Mystery;Thriller;;113;67;71
Mononoke-hime;Animation;Action;Adventure;134;64;72
Once Upon a Time in America;Crime;Drama;;229;84;73
Raiders of the Lost Ark;Action;Adventure;;115;71;74
The Shining;Drama;Horror;;146;55;75
Apocalypse Now;Drama;Mystery;War;147;79;76
Alien;Horror;Sci-Fi;;117;75;77
Tengoku to jigoku;Crime;Drama;Mystery;143;84;78
Dr, Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Comedy;;;95;81;79
Witness for the Prosecution;Crime;Drama;Mystery;116;84;80
Paths of Glory;Drama;War;;88;76;81
Rear Window;Mystery;Thriller;;112;84;82
Sunset Blvd,;Drama;Film-Noir;;110;84;83
The Great Dictator;Comedy;Drama;War;125;84;84
1917;Drama;Thriller;War;119;65;85
Tumbbad;Drama;Fantasy;Horror;104;83;86
Drishyam;Crime;Drama;Thriller;160;83;87
Jagten;Drama;;;115;64;88
Jodaeiye Nader az Simin;Drama;;;123;79;89
Incendies;Drama;Mystery;War;131;66;90
Dara iz Jasenovca;Drama;War;;130;83;91
The Father;Drama;;;97;73;92
Babam ve Oglum;Drama;Family;;112;83;93
Inglourious Basterds;Adventure;Drama;War;153;57;94
Eternal Sunshine of the Spotless Mind;Drama;Romance;Sci-Fi;108;74;95
Amélie;Comedy;Romance;;122;57;96
Snatch;Comedy;Crime;;104;83;97
Requiem for a Dream;Drama;;;102;56;98
American Beauty;Drama;;;122;70;99
Good Will Hunting;Drama;Romance;;126;58;100
Bacheha-Ye aseman;Drama;Family;Sport;89;64;101
Toy Story;Animation;Adventure;Comedy;81;79;102
Braveheart;Biography;Drama;History;178;56;103
Reservoir Dogs;Crime;Drama;Thriller;99;66;104
Full Metal Jacket;Drama;War;;116;63;105
Idi i smotri;Drama;Thriller;War;142;83;106
Aliens;Action;Adventure;Sci-Fi;137;70;107
Amadeus;Biography;Drama;History;160;73;108
Scarface;Crime;Drama;;170;54;109
Star Wars: Episode VI - Return of the Jedi;Action;Adventure;Fantasy;131;83;110
Das Boot;Adventure;Drama;Thriller;149;71;111
The Sting;Comedy;Crime;Drama;129;69;112
A Clockwork Orange;Crime;Drama;Sci-Fi;136;64;113
Anand;Drama;Musical;;122;83;114
2001: A Space Odyssey;Adventure;Sci-Fi;;149;70;115
Lawrence of Arabia;Adventure;Biography;Drama;228;83;116
The Apartment;Comedy;Drama;Romance;125;78;117
North by Northwest;Adventure;Mystery;Thriller;136;81;118
Vertigo;Mystery;Romance;Thriller;128;83;119
Singin' in the Rain;Comedy;Musical;Romance;103;82;120
Ikiru;Drama;;;143;83;121
Ladri di biciclette;Drama;;;89;83;122
Double Indemnity;Crime;Drama;Film-Noir;107;79;123
Citizen Kane;Drama;Mystery;;119;83;124
M - Eine Stadt sucht einen Mörder;Crime;Mystery;Thriller;117;83;125
Metropolis;Drama;Sci-Fi;;153;81;126
The Kid;Comedy;Drama;Family;68;83;127
Chhichhore;Comedy;Drama;;143;82;128
Uri: The Surgical Strike;Action;Drama;War;138;82;129
Andhadhun;Crime;Drama;Music;139;82;130
K,G,F: Chapter 1;Action;Drama;;156;82;131
Green Book;Biography;Comedy;Drama;130;57;132
Talvar;Crime;Drama;Mystery;132;82;133
Baahubali 2: The Conclusion;Action;Drama;;167;82;134
Klaus;Animation;Adventure;Comedy;96;53;135
Drishyam;Crime;Drama;Mystery;163;82;136
Queen;Adventure;Comedy;Drama;146;82;137
Mandariinid;Drama;War;;87;60;138
Bhaag Milkha Bhaag;Biography;Drama;Sport;186;82;139
Gangs of Wasseypur;Action;Comedy;Crime;321;73;140
Udaan;Drama;;;134;82;141
Paan Singh Tomar;Action;Biography;Crime;135;82;142
Zindagi Na Milegi Dobara;Comedy;Drama;;155;82;143
